,Investor Type,Years Forecasted,Initial Investment,Final Value
75,moderate_investor,32,613491,6140250
76,moderate_investor,30,363631,3279459
77,aggressive_investor,22,631316,3346653
78,moderate_investor,25,1194702,8189186
79,aggressive_investor,14,717730,2019624
80,aggressive_investor,19,1503316,6128962
81,nervous_investor,29,1209590,7819268
82,nervous_investor,19,1541641,4239614
83,moderate_investor,31,810305,7527743
84,aggressive_investor,12,1013687,2306299
85,aggressive_investor,14,1767253,4943098
86,conservative_investor,19,504193,1501901
87,moderate_investor,28,233307,1797030
88,moderate_investor,33,525488,6114324
89,moderate_investor,48,1764109,60092482
90,aggressive_investor,28,234136,1951343
91,conservative_investor,35,398446,3065270
92,aggressive_investor,31,1409166,16240704
93,conservative_investor,46,429779,6186317
94,aggressive_investor,45,741376,21979807
95,aggressive_investor,48,235538,9173969
96,nervous_investor,13,1209238,2213775
97,moderate_investor,10,833282,1729063
98,moderate_investor,13,134192,343245
99,nervous_investor,44,1803008,32208323
100,conservative_investor,47,1370406,20937628
101,conservative_investor,15,171649,414701
102,aggressive_investor,42,1488104,40940296
103,conservative_investor,16,491465,1254266
104,nervous_investor,46,11793,146848
105,nervous_investor,39,691770,7239867
106,aggressive_investor,32,489356,6919510
107,aggressive_investor,27,304999,2873286
108,aggressive_investor,15,225481,677751
109,aggressive_investor,16,1411390,4911709
110,conservative_investor,46,650981,9002348
111,moderate_investor,26,1990591,14091681
112,nervous_investor,20,1038594,4269006
113,moderate_investor,32,1254546,13254283
114,nervous_investor,32,255509,1137559
115,nervous_investor,48,716101,14828081
116,moderate_investor,37,1161514,16768344
117,conservative_investor,10,1350808,2408693
118,moderate_investor,18,1991605,7658768
119,nervous_investor,17,314384,950867
120,moderate_investor,13,1469929,3995876
121,aggressive_investor,25,423969,2621779
122,conservative_investor,14,1548675,3349774
123,nervous_investor,16,1190549,2638827
124,moderate_investor,17,1524721,5449076
125,moderate_investor,46,1319719,40232239
126,conservative_investor,47,477571,6958654
127,conservative_investor,49,1387139,24615117
128,aggressive_investor,27,962392,10072844
129,moderate_investor,24,1750292,10525318
130,moderate_investor,34,156831,1955349
131,aggressive_investor,37,847682,14068939
132,conservative_investor,38,1523934,13487265
133,nervous_investor,20,1598708,4412389
134,aggressive_investor,43,1112157,24177077
135,aggressive_investor,42,311512,7831408
136,moderate_investor,13,877522,2316931
137,aggressive_investor,13,71341,175085
138,aggressive_investor,35,831862,12260229
139,aggressive_investor,46,1750415,60379091
140,conservative_investor,10,1629196,2817516
141,moderate_investor,32,967895,10173184
142,moderate_investor,20,326816,1565478
143,conservative_investor,37,671659,6233385
144,nervous_investor,12,1157181,1951307
145,conservative_investor,16,1894984,4946446
146,aggressive_investor,27,589519,5202743
147,aggressive_investor,14,939819,2564440
148,nervous_investor,39,1704858,20873704
149,nervous_investor,22,25761,69810
150,nervous_investor,21,382323,1085489
151,nervous_investor,37,1321056,12340510
152,conservative_investor,35,1663639,12138792
153,nervous_investor,40,1178074,12555013
154,moderate_investor,42,1005620,22375655
155,moderate_investor,49,1442122,58714587
156,aggressive_investor,50,251870,16759561
157,conservative_investor,33,888236,6719756
158,nervous_investor,11,53964,88958
159,moderate_investor,10,1115152,2367974
160,moderate_investor,25,111688,733243
161,aggressive_investor,49,1730250,76958476
162,nervous_investor,49,1693553,28432221
163,moderate_investor,45,1221005,32666734
164,nervous_investor,28,1386191,7736738
165,moderate_investor,44,24754,702254
166,aggressive_investor,25,357062,2842616
167,aggressive_investor,49,92100,5391340
168,nervous_investor,30,210479,1331973
169,nervous_investor,36,1678952,16904849
170,aggressive_investor,18,1950805,7501530
171,nervous_investor,22,1644290,4868500
172,conservative_investor,43,1890945,23376372
173,aggressive_investor,34,424593,5620134
174,conservative_investor,15,580283,1381210
175,nervous_investor,25,1029475,4534629
176,conservative_investor,28,1449439,6859290
177,aggressive_investor,47,452155,14110645
178,conservative_investor,41,184327,2031956
179,conservative_investor,40,1770386,18162471
180,aggressive_investor,13,1256321,3667448
181,conservative_investor,36,254866,2202357
182,conservative_investor,40,204380,2033608
183,moderate_investor,37,541808,8145971
184,conservative_investor,12,36007,72853
185,moderate_investor,21,1210289,6386107
186,aggressive_investor,41,1643080,44567892
187,moderate_investor,44,1217178,32296932
188,moderate_investor,31,1279673,13350849
189,conservative_investor,49,1301014,23045796
190,nervous_investor,46,1368250,23696711
191,moderate_investor,20,907318,4158786
192,nervous_investor,45,1482711,20222128
193,aggressive_investor,28,1338845,11854602
194,aggressive_investor,48,1507379,76236551
195,moderate_investor,48,1400493,41781220
196,conservative_investor,31,1441485,8785075
197,moderate_investor,30,1929378,17458416
198,moderate_investor,28,1083241,8368700
199,nervous_investor,28,1187742,5864624
200,moderate_investor,42,1945177,42361999
201,moderate_investor,26,1047306,6376638
202,conservative_investor,38,1518204,15410701
203,moderate_investor,13,763302,2135881
204,conservative_investor,49,1799780,31320480
205,moderate_investor,45,1062291,30174809
206,aggressive_investor,37,1287549,25405472
207,moderate_investor,44,1647996,49285348
208,nervous_investor,12,1839396,2908973
209,moderate_investor,50,1468084,65680129
210,conservative_investor,24,799557,3152373
211,conservative_investor,32,622679,3967611
212,conservative_investor,50,325858,5315005
213,aggressive_investor,15,585197,1703360
214,conservative_investor,39,751446,7248038
215,aggressive_investor,50,446732,21134931
216,moderate_investor,30,264740,2315759
217,nervous_investor,14,1821360,4032777
218,aggressive_investor,17,1821285,7290810
219,nervous_investor,26,1468966,5933450
220,moderate_investor,30,789467,7983576
221,moderate_investor,29,234794,2037117
222,conservative_investor,50,872900,15801042
223,conservative_investor,21,442219,1522559
224,nervous_investor,20,1839835,6504925
225,conservative_investor,38,1512238,13297399
226,moderate_investor,42,1996862,43658194
227,moderate_investor,17,469879,1644022
228,conservative_investor,28,412097,2010436
229,nervous_investor,16,332153,815937
230,moderate_investor,46,754555,22431667
231,aggressive_investor,39,1895641,35512629
232,conservative_investor,21,979375,3287259
233,conservative_investor,44,1118637,13781273
234,aggressive_investor,11,297246,621115
235,conservative_investor,17,574228,1558141
236,conservative_investor,47,1398581,20965655
237,aggressive_investor,33,1025750,11793839
238,aggressive_investor,25,463551,3569376
239,nervous_investor,43,993428,9754064
240,nervous_investor,15,1134531,2599531
241,aggressive_investor,14,215309,567382
242,aggressive_investor,14,1548597,4457950
243,nervous_investor,30,629501,4869046
244,nervous_investor,15,1834005,4467724
245,nervous_investor,20,937367,3134843
246,conservative_investor,26,232985,1051018
247,moderate_investor,26,235364,1640179
248,nervous_investor,21,279342,950778
249,moderate_investor,25,246954,1461237
250,conservative_investor,44,1762168,22210020
251,moderate_investor,36,1096150,17464639
252,aggressive_investor,18,1825515,7745901
253,conservative_investor,14,14873,33961
254,moderate_investor,47,1915176,65664182
255,conservative_investor,22,1192587,4092621
256,moderate_investor,33,1669395,19402902
257,aggressive_investor,45,1762766,56147794
258,conservative_investor,21,1816200,5851829
259,moderate_investor,14,558611,1568398
260,conservative_investor,37,1225387,10786978
261,nervous_investor,22,470131,1690921
262,nervous_investor,43,126447,1659210
263,aggressive_investor,24,1927373,12416602
264,aggressive_investor,44,1037401,30381309
265,conservative_investor,13,1550454,3035243
266,nervous_investor,22,709055,2076249
267,conservative_investor,45,1079895,15620219
268,moderate_investor,26,506123,3593624
269,aggressive_investor,37,41819,706727
270,nervous_investor,20,237534,1058584
271,nervous_investor,18,1207970,3970025
272,conservative_investor,39,1187203,10804220
273,conservative_investor,49,482255,8201324
274,conservative_investor,44,957066,11619371
275,conservative_investor,41,926588,9493031
276,aggressive_investor,42,1922162,51106746
277,nervous_investor,30,413109,2807986
278,moderate_investor,49,494339,20079696
279,aggressive_investor,23,80928,464532
280,nervous_investor,10,1917882,3438706
281,nervous_investor,42,546343,6934839
282,aggressive_investor,21,1927039,8059741
283,moderate_investor,45,388657,10685545
284,nervous_investor,29,1064725,5178429
285,aggressive_investor,11,1066773,2611008
286,aggressive_investor,14,1875519,5152670
287,nervous_investor,48,32788,771881
288,aggressive_investor,40,1837541,41057992
289,moderate_investor,48,396396,14991515
290,nervous_investor,26,1565347,8128375
291,nervous_investor,35,508618,3860294
292,conservative_investor,47,1134665,18930685
293,nervous_investor,14,1362848,3094555
294,nervous_investor,42,329760,3843326
295,aggressive_investor,34,98115,1122741
296,conservative_investor,28,1448155,7142110
297,aggressive_investor,33,1305032,14552361
298,conservative_investor,10,1956449,3349319
299,moderate_investor,19,1049115,4567701
300,nervous_investor,35,241960,1318931
301,aggressive_investor,19,127243,582977
302,moderate_investor,15,12969,42893
303,aggressive_investor,30,722130,6665014
304,aggressive_investor,43,354319,10642067
305,nervous_investor,32,1385084,7249776
306,aggressive_investor,39,1181609,25342681
307,aggressive_investor,22,356627,1959948
308,moderate_investor,19,35155,150557
309,moderate_investor,30,575036,5887432
310,nervous_investor,34,1739206,10069784
311,nervous_investor,19,1426942,4365117
312,moderate_investor,34,454030,5684856
313,nervous_investor,13,1144767,2705041
314,conservative_investor,25,1365242,5695347
315,nervous_investor,26,1623557,9069919
316,conservative_investor,23,61436,227430
317,moderate_investor,26,296282,2315173
318,conservative_investor,50,895793,16679336
319,aggressive_investor,39,526398,10875508
320,conservative_investor,18,261532,750769
321,nervous_investor,31,398930,2383552
322,nervous_investor,28,1828994,8382429
323,nervous_investor,22,785681,2038245
324,aggressive_investor,10,1384681,2685008
325,moderate_investor,33,642653,7435522
326,nervous_investor,29,1292329,6446173
327,aggressive_investor,28,1411303,13116695
328,nervous_investor,48,227479,4613315
329,aggressive_investor,36,1466328,26256811
330,moderate_investor,22,1272666,6956029
331,moderate_investor,11,251371,611044
332,nervous_investor,48,635644,9904506
333,conservative_investor,14,1521126,3531210
334,conservative_investor,32,1105385,6864263
335,nervous_investor,22,1622967,4421151
336,aggressive_investor,16,749796,2458268
337,nervous_investor,50,1627977,30485040
338,aggressive_investor,12,1303143,2884438
339,aggressive_investor,11,1168815,2489738
340,nervous_investor,32,69805,499903
341,conservative_investor,48,1956467,28976088
342,conservative_investor,35,485446,4048503
343,moderate_investor,45,1104888,30972074
344,aggressive_investor,24,1315823,8974877
345,conservative_investor,14,382403,899920
346,conservative_investor,18,901717,2640281
347,moderate_investor,31,1738624,18029558
348,aggressive_investor,27,1758760,12287532
349,moderate_investor,35,569533,8973649
350,nervous_investor,43,494201,7045217
351,conservative_investor,16,368440,925167
352,aggressive_investor,26,1872058,14939266
353,nervous_investor,44,1712319,24548680
354,conservative_investor,12,1758941,3547440
355,aggressive_investor,18,114538,427918
356,aggressive_investor,37,531724,9578396
357,aggressive_investor,10,1806555,3938238
358,aggressive_investor,17,1875532,6478116
359,conservative_investor,11,993944,1798896
360,aggressive_investor,28,445669,5307404
361,moderate_investor,29,277508,2391400
362,nervous_investor,24,1841537,7107994
363,moderate_investor,42,1075415,23905190
364,moderate_investor,18,1370550,5139229
365,aggressive_investor,18,235132,953807
366,nervous_investor,31,1078672,7250427
367,aggressive_investor,25,325920,2559620
368,nervous_investor,22,1376715,4395815
369,aggressive_investor,38,229572,4730475
370,conservative_investor,42,54435,634568
371,conservative_investor,38,47138,423882
372,conservative_investor,41,612582,6588137
373,moderate_investor,27,93856,705670
374,conservative_investor,43,92986,1164486
375,conservative_investor,22,1474007,5248661
376,nervous_investor,27,1278858,6640675
377,nervous_investor,24,1623670,6436840
378,moderate_investor,32,175069,1969352
379,nervous_investor,24,709572,2453531
380,conservative_investor,23,24523,89857
381,aggressive_investor,22,1086620,5653904
382,moderate_investor,28,1821389,15757262
383,aggressive_investor,26,1976422,16282704
384,moderate_investor,18,251713,988913
385,moderate_investor,43,888484,26708485
386,nervous_investor,40,1401920,20281922
387,moderate_investor,30,452413,4130770
388,aggressive_investor,26,530334,3590534
389,nervous_investor,42,1246672,13777096
390,moderate_investor,20,1743549,7407550
391,moderate_investor,42,611052,16008211
392,moderate_investor,10,55673,130004
393,moderate_investor,50,546760,24618661
394,aggressive_investor,12,956411,2298276
395,moderate_investor,36,917893,13355335
396,aggressive_investor,40,1903488,49536367
397,moderate_investor,47,966636,33718972
398,aggressive_investor,19,1464299,6701638
399,conservative_investor,10,672914,1196823
400,nervous_investor,50,220386,4307113
401,nervous_investor,15,390414,815153
402,nervous_investor,20,338283,1186735
403,nervous_investor,11,54773,93464
404,nervous_investor,37,534802,4723171
405,conservative_investor,32,685791,4424986
406,aggressive_investor,49,320350,16274243
407,moderate_investor,25,1742161,11130266
408,aggressive_investor,38,1464372,32595817
409,moderate_investor,29,277657,2606779
410,moderate_investor,43,1468178,37442845
411,conservative_investor,20,803281,2561665
412,conservative_investor,43,279352,3443479
413,moderate_investor,47,13546,453928
414,aggressive_investor,10,317938,613125
415,conservative_investor,24,1135993,4422438
416,moderate_investor,20,1910715,8401516
417,conservative_investor,36,830464,6312131
418,aggressive_investor,13,415540,1047278
419,aggressive_investor,29,895982,9701380
420,moderate_investor,25,122883,824667
421,nervous_investor,15,257340,581866
422,moderate_investor,11,1580945,3384613
423,nervous_investor,46,232137,3615288
424,conservative_investor,26,1590214,6962720
425,moderate_investor,49,1400777,56606409
426,nervous_investor,34,1026239,9056238
427,nervous_investor,13,1441385,2946020
428,conservative_investor,21,1787722,5973351
429,conservative_investor,29,1727068,8988093
430,moderate_investor,47,1747151,60831835
431,conservative_investor,40,923314,9697265
432,aggressive_investor,25,1454012,9649820
433,conservative_investor,50,1599719,29349917
434,conservative_investor,37,1432133,12113748
435,moderate_investor,35,54238,802802
436,moderate_investor,13,545461,1373375
437,moderate_investor,43,707925,17599015
438,nervous_investor,42,788027,10265480
439,conservative_investor,27,1766699,8383533
440,moderate_investor,21,1125636,5329211
441,nervous_investor,17,187126,496238
442,aggressive_investor,42,551098,12574149
443,conservative_investor,31,14275,88380
444,aggressive_investor,24,753565,5085054
445,moderate_investor,30,457222,4511189
446,aggressive_investor,24,155512,899387
447,moderate_investor,38,631140,11981775
448,moderate_investor,17,379071,1348332
449,nervous_investor,48,1266206,52982603
450,nervous_investor,31,735549,5407032
451,aggressive_investor,35,1873633,31603500
452,moderate_investor,38,445567,8125572
453,moderate_investor,16,1851888,6070573
454,nervous_investor,22,1433795,3818783
455,aggressive_investor,19,1669552,7482104
456,aggressive_investor,40,1167778,31259150
457,conservative_investor,33,239026,1632018
458,moderate_investor,48,1494081,50746497
459,aggressive_investor,20,1520422,7224814
460,aggressive_investor,24,954461,6306762
461,conservative_investor,23,1138522,4092703
462,aggressive_investor,35,1869559,25394452
463,aggressive_investor,18,578893,2352923
464,conservative_investor,26,419659,1907222
465,moderate_investor,32,508518,5201547
466,moderate_investor,36,1907543,27810379
467,moderate_investor,38,1180815,21663402
468,nervous_investor,20,1082728,5061137
469,moderate_investor,44,1586717,47711171
470,conservative_investor,42,291846,3242381
471,nervous_investor,20,151325,493554
472,aggressive_investor,23,1807081,10908703
473,moderate_investor,36,1315012,20654698
474,aggressive_investor,35,113878,1910774
475,nervous_investor,10,820480,1539304
476,aggressive_investor,35,215104,2918414
477,nervous_investor,46,444835,10221445
478,moderate_investor,30,167116,1507141
479,conservative_investor,20,374581,1162317
480,nervous_investor,28,346409,1641682
481,moderate_investor,24,1828142,10724073
482,conservative_investor,40,1164620,12468457
483,aggressive_investor,34,305323,4105523
484,aggressive_investor,39,636013,16579509
485,nervous_investor,42,1054928,11580343
486,conservative_investor,24,732034,3053908
487,aggressive_investor,14,1863856,5515862
488,moderate_investor,34,1063305,12383877
489,moderate_investor,47,1892924,67597117
490,nervous_investor,40,1135648,8256390
491,aggressive_investor,20,1352328,6889393
492,moderate_investor,13,1022432,2812316
493,conservative_investor,33,1757214,11468634
494,conservative_investor,46,394006,5509686
495,moderate_investor,45,702843,20140410
496,nervous_investor,41,35475,346301
497,moderate_investor,17,1999515,7153727
498,conservative_investor,49,1264456,21790019
499,moderate_investor,37,34537,570861
500,aggressive_investor,18,1832612,7070933
501,aggressive_investor,45,904179,36452246
502,aggressive_investor,12,1878114,3937562
503,nervous_investor,12,616771,1118079
504,nervous_investor,35,1487877,14058504
505,nervous_investor,27,474091,2859878
506,conservative_investor,45,1145071,15241594
507,conservative_investor,49,809700,14258300
508,moderate_investor,34,32021,360648
509,conservative_investor,20,329437,1070518
510,moderate_investor,14,1786043,5185090
511,conservative_investor,50,1424481,25702872
512,aggressive_investor,32,1863745,22709487
513,conservative_investor,25,955462,3977820
514,conservative_investor,10,633935,1106688
515,conservative_investor,48,103534,1641092
516,moderate_investor,10,27726,60774
517,aggressive_investor,17,1062749,3609442
518,nervous_investor,34,1127407,7103746
519,conservative_investor,47,190412,2841295
520,aggressive_investor,33,379605,5138524
521,nervous_investor,36,1541331,18175098
522,aggressive_investor,13,946047,2271478
523,conservative_investor,37,1355863,10487171
524,aggressive_investor,23,30100,182574
525,aggressive_investor,21,1908662,9634170
526,moderate_investor,30,1547929,14922588
527,nervous_investor,45,418162,7036202
528,aggressive_investor,30,113804,1000673
529,nervous_investor,29,697938,3830677
530,conservative_investor,48,747923,12381245
531,aggressive_investor,40,1265211,29548731
532,conservative_investor,13,126047,276271
533,conservative_investor,46,1189782,16825488
534,conservative_investor,41,148118,1541698
535,nervous_investor,19,673642,2030506
536,conservative_investor,39,1239099,11026218
537,nervous_investor,31,1649548,8293933
538,conservative_investor,10,42931,76406
539,nervous_investor,39,45298,502253
540,nervous_investor,28,734527,3717040
541,conservative_investor,27,1807243,9080016
542,conservative_investor,45,1795988,25860967
543,aggressive_investor,44,1942018,58986889
544,aggressive_investor,44,1964257,58554617
545,aggressive_investor,41,1524261,39195792
546,conservative_investor,21,1365054,4463528
547,moderate_investor,12,496374,1258641
548,aggressive_investor,42,386654,10739114
549,nervous_investor,27,1323203,6378189
550,moderate_investor,37,1382447,24233012
551,nervous_investor,18,120498,292652
552,conservative_investor,37,1902412,15273885
553,moderate_investor,34,1599989,20864255
554,conservative_investor,41,1435303,15589951
555,nervous_investor,41,1263470,10578638
556,conservative_investor,23,497766,1851116
557,moderate_investor,36,1839753,27713473
558,aggressive_investor,34,345103,5392730
559,conservative_investor,50,112430,2065555
560,conservative_investor,30,1519019,8859999
561,moderate_investor,29,1952090,16762158
562,moderate_investor,27,443579,3143968
563,aggressive_investor,10,176353,390188
564,conservative_investor,46,1733627,22404075
565,nervous_investor,11,1689023,2706022
566,nervous_investor,12,1613086,3015216
567,moderate_investor,36,1746600,26422189
568,moderate_investor,14,990012,2809195
569,moderate_investor,19,1050327,4421538
570,conservative_investor,50,1733161,31083837
571,moderate_investor,47,1348680,48524472
572,nervous_investor,14,1943868,4299259
573,conservative_investor,13,1439725,3005724
574,nervous_investor,22,100237,295730
575,conservative_investor,17,1768369,4998788
576,aggressive_investor,33,336917,4508001
577,conservative_investor,41,687009,7869248
578,aggressive_investor,26,199547,1320138
579,nervous_investor,21,1097995,3294462
580,aggressive_investor,35,1323161,17994954
581,conservative_investor,14,1482090,3183723
582,aggressive_investor,45,370760,10887070
583,conservative_investor,28,369054,1845382
584,nervous_investor,46,697660,9619877
585,moderate_investor,23,1412615,7833723
586,aggressive_investor,43,829398,24034201
587,nervous_investor,12,210239,333700
588,moderate_investor,15,1763896,5564788
589,moderate_investor,11,1795577,4215401
590,moderate_investor,16,90209,326328
591,conservative_investor,10,1110508,1972526
592,conservative_investor,33,91273,595170
593,nervous_investor,39,1433010,15632135
594,aggressive_investor,27,135023,1008256
595,aggressive_investor,20,1733212,9057620
596,moderate_investor,19,1897265,7455082
597,aggressive_investor,44,1176649,46497011
598,moderate_investor,45,986608,28939505
599,conservative_investor,11,75969,143441
600,conservative_investor,25,1345165,5470969
601,nervous_investor,23,859797,2565647
602,aggressive_investor,14,1009630,2871686
603,moderate_investor,41,1687035,36128851
604,aggressive_investor,34,1158681,16986313
605,conservative_investor,17,818463,2177884
606,nervous_investor,17,1137396,3093131
607,nervous_investor,40,1858723,37103249
608,aggressive_investor,48,1289286,60095708
609,conservative_investor,31,1902702,10940289
610,conservative_investor,25,213157,887812
611,nervous_investor,40,264600,3093949
612,moderate_investor,33,1982086,25101509
613,moderate_investor,50,1677246,71205893
614,conservative_investor,25,193227,803149
615,conservative_investor,41,418894,4662021
616,conservative_investor,11,766569,1480683
617,moderate_investor,29,1742513,16602629
618,moderate_investor,29,871022,7619261
619,conservative_investor,12,937797,1873491
620,aggressive_investor,39,402228,8911520
621,conservative_investor,10,1926214,3551373
622,nervous_investor,13,1213092,2400126
623,conservative_investor,25,932863,3977379
624,nervous_investor,46,1243895,17623286
625,aggressive_investor,14,55970,150413
626,aggressive_investor,34,684411,10727037
627,moderate_investor,43,1283840,32162673
628,moderate_investor,49,1771220,63250170
629,conservative_investor,38,779431,6893707
630,aggressive_investor,11,1529424,3251229
631,aggressive_investor,17,1692128,6885678
632,nervous_investor,16,1911606,5562229
633,aggressive_investor,29,1300260,12750500
634,conservative_investor,42,1536738,17668149
635,aggressive_investor,27,924823,8859000
636,aggressive_investor,23,1480953,8708209
637,aggressive_investor,33,1821599,26068045
638,aggressive_investor,26,216904,1548099
639,moderate_investor,25,1101335,6956116
640,conservative_investor,15,1409664,3598556
641,moderate_investor,12,1272156,3257776
642,aggressive_investor,19,1989123,10027306
643,moderate_investor,34,106849,1365234
644,aggressive_investor,40,881159,21059371
645,conservative_investor,12,233378,472267
646,nervous_investor,28,1600097,9371385
647,aggressive_investor,46,1077976,40485394
648,moderate_investor,12,321147,815541
649,conservative_investor,45,1875636,25857718
650,conservative_investor,19,205400,609208
651,nervous_investor,21,194238,636946
652,nervous_investor,40,1371522,22224001
653,moderate_investor,37,971153,14469648
654,aggressive_investor,35,1532464,22422726
655,moderate_investor,35,1763990,23164939
656,moderate_investor,34,1223978,14883451
657,conservative_investor,23,1218047,4845475
658,conservative_investor,44,1344546,17897569
659,nervous_investor,43,708883,7412080
660,nervous_investor,36,1611482,14990150
661,moderate_investor,21,935058,3948788
662,nervous_investor,11,242544,399208
663,moderate_investor,31,1509229,15973162
664,conservative_investor,49,273133,4658599
665,moderate_investor,26,1259038,9257632
666,conservative_investor,22,1687884,5963780
667,conservative_investor,34,715149,5249150
668,moderate_investor,17,1419701,5086373
669,aggressive_investor,35,952403,15187776
670,nervous_investor,44,935985,11203862
671,aggressive_investor,15,1771428,5423786
672,moderate_investor,42,437159,9616408
673,moderate_investor,11,200417,452279
674,aggressive_investor,11,818446,1842691
675,conservative_investor,30,1528314,8434629
676,moderate_investor,15,1029620,3079795
677,nervous_investor,22,402704,1551045
678,conservative_investor,17,742992,2014718
679,nervous_investor,33,673486,4991304
680,aggressive_investor,43,1359054,36044336
681,aggressive_investor,49,153116,7174077
682,conservative_investor,10,1829524,3391061
683,aggressive_investor,11,1889564,4373606
684,conservative_investor,25,275816,1092166
685,moderate_investor,48,1530635,59394950
686,nervous_investor,34,202140,1689748
687,nervous_investor,13,1194220,2346999
688,conservative_investor,18,1971011,5627527
689,nervous_investor,28,307655,1680931
690,conservative_investor,17,302372,783123
691,nervous_investor,39,1083557,10630650
692,moderate_investor,24,353795,2075568
693,conservative_investor,45,1169388,16272179
694,conservative_investor,33,208572,1391203
695,moderate_investor,38,52363,1064389
696,conservative_investor,44,556140,7134902
697,conservative_investor,19,410380,1162431
698,nervous_investor,49,470966,7390451
699,aggressive_investor,31,368263,3509913
700,nervous_investor,33,315022,2152731
701,aggressive_investor,25,515361,4747761
702,aggressive_investor,19,1788882,7743461
703,conservative_investor,17,608218,1702575
704,aggressive_investor,40,930190,22166700
705,moderate_investor,45,1785712,48252884
706,conservative_investor,40,1324667,13230195
707,conservative_investor,50,1006449,17920303
708,moderate_investor,12,81050,194094
709,nervous_investor,43,1957381,28966484
710,aggressive_investor,14,1485588,4193858
711,moderate_investor,49,86818,4157929
712,aggressive_investor,44,1476204,39032275
713,aggressive_investor,36,1111477,15782601
714,conservative_investor,10,1853365,3394460
715,aggressive_investor,27,632962,4888662
716,aggressive_investor,35,399798,5046309
717,conservative_investor,16,1536566,3829504
718,aggressive_investor,24,1950956,12025754
719,nervous_investor,19,213392,726816
720,moderate_investor,44,693472,20566589
721,nervous_investor,22,410088,1714223
722,moderate_investor,37,1270892,19668465
723,aggressive_investor,26,1232975,9449008
724,conservative_investor,43,1338585,16042769
725,nervous_investor,46,569696,10026625
726,moderate_investor,37,1202531,18483788
727,moderate_investor,21,1222350,5836424
728,nervous_investor,42,537285,7627598
729,nervous_investor,50,1961026,36349161
730,conservative_investor,41,1187765,13936552
731,nervous_investor,42,748645,8049139
732,aggressive_investor,23,1389186,8259798
733,conservative_investor,11,1968668,3685666
734,moderate_investor,17,986022,3900842
735,aggressive_investor,46,962157,33617353
736,aggressive_investor,36,1918601,37322789
737,aggressive_investor,20,1791591,9928202
738,moderate_investor,28,884572,7607097
739,conservative_investor,48,814670,13006758
740,moderate_investor,48,1916206,71774017
741,aggressive_investor,26,771341,5089989
742,nervous_investor,46,164418,2538788
743,nervous_investor,30,1990900,12332685
744,nervous_investor,38,1663959,18326598
745,conservative_investor,43,1449224,18998853
746,aggressive_investor,50,733741,42151958
